Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,22.339892690657717
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,35.46179333142855
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,38.43612919585341
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,43.94388838236526
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,46.348951684225035
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,46.68813361385043
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,48.7516266251136
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,50.4077232085381
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,52.412816518627864
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,55.97016823897462
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,56.78971118719231
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,57.54436905020505
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,57.85964578245836
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,60.74652737488374
Phthalic acid,O=C(O)c1ccccc1C(=O)O,66.30747092251454
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,66.78019909066352
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,71.49800763041884
Polistirene,C=CC1=CC=CC=C1,74.07424589331816
Benzene,c1ccccc1,75.38483758715964
Dimethylurea,CNC(=O)N(C)C,80.88569930834097
Acetic acid,CC(=O)O,87.36556066895348
Cyclohexane,C1CCCCC1,89.49641021135922
PVC,C(C)Cl,94.064091846407
Urea,C(=O)(N)N,104.81975800703839
Ethanol,CCO,110.32369326905412
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,142.09410422464566
Polietilene,CC,314.15469779862633
