Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.22723785054545892
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.301592246111237
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.4806585978486576
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,0.6144123822982798
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.6355113467928384
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1.0462802623038545
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.0701700385420985
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1.3558481565401483
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,1.3738163743416154
Phthalic acid,O=C(O)c1ccccc1C(=O)O,1.705567544083063
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1.7622083151793348
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,1.7842000528430746
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1.823775135903351
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,1.8367083882261916
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,2.0890360565737116
Dimethylurea,CNC(=O)N(C)C,2.2156292890057463
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2.3278495152771135
Acetic acid,CC(=O)O,2.3705654116847192
Polistirene,C=CC1=CC=CC=C1,2.5073542841880605
Ethanol,CCO,2.5737878519652786
Cyclohexane,C1CCCCC1,2.5985090836076927
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,2.6230723606206823
Benzene,c1ccccc1,2.6851499495297864
PVC,C(C)Cl,2.8203734473607693
Polietilene,CC,3.0463106862955303
Urea,C(=O)(N)N,3.057482318142503
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,5.15056906861099
