Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.3171105730638491
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.4387783355787618
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.6133015745215837
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.6816688905471172
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,0.8607787183964516
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1.055372489402954
Phthalic acid,O=C(O)c1ccccc1C(=O)O,1.3411708793673407
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,1.5249119227843908
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.6697669476349877
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,2.178830412244144
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,2.4768445001391832
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.4785657930357194
Dimethylurea,CNC(=O)N(C)C,2.6392392408391525
Acetic acid,CC(=O)O,2.692301519099805
Polistirene,C=CC1=CC=CC=C1,2.791452244630213
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,2.8360459563140594
Ethanol,CCO,2.9710639280951576
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,3.0223824690605343
Benzene,c1ccccc1,3.0337437138716505
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,3.052451174508552
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,3.083948724412226
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,3.1493412456479906
Urea,C(=O)(N)N,3.188034632381224
Cyclohexane,C1CCCCC1,3.230308143446984
PVC,C(C)Cl,3.328451901032783
Polietilene,CC,3.4781268391728375
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,6.747591611497342
