Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.40717261979354613
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.5475427131717514
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.6021933600443936
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.6608709229219514
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0.716916647773015
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1.1838403865319131
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,1.4652788585486904
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1.7086852548191824
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,1.7812340354851786
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1.8942140399002318
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,2.102620044314503
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.402996490153227
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,2.886296531586122
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,2.9951151335405393
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,4.753847545668558
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,4.942396406093047
Phthalic acid,O=C(O)c1ccccc1C(=O)O,5.248038859976628
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,7.00933714403727
Polietilene,CC,7.303655136613119
Urea,C(=O)(N)N,7.802864514623206
Acetic acid,CC(=O)O,8.301377344415739
Ethanol,CCO,8.428148517058725
Dimethylurea,CNC(=O)N(C)C,8.562427470019248
PVC,C(C)Cl,9.221615307623733
Benzene,c1ccccc1,9.348815158987575
Polistirene,C=CC1=CC=CC=C1,9.606885540396162
Cyclohexane,C1CCCCC1,9.68709525603222
