Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.6058593770914246
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,0.9808895073618318
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,1.053085930045598
Phthalic acid,O=C(O)c1ccccc1C(=O)O,1.273285818725786
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1.3061395405825704
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1.3232083599062754
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.3954899172821114
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,1.4198697049184672
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,1.4265357468789266
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1.5343712559991238
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,1.6375364712123732
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,1.6814802196260172
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1.6835411015426203
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,1.7064565150950548
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1.7467736672072454
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1.8435047662243664
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,1.951048471684761
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,2.0166045176818934
Polistirene,C=CC1=CC=CC=C1,2.515794229585978
Benzene,c1ccccc1,2.961573888855662
Cyclohexane,C1CCCCC1,3.2279185556768675
PVC,C(C)Cl,3.572703790325329
Polietilene,CC,3.6815839056885244
Acetic acid,CC(=O)O,4.807451268475264
Ethanol,CCO,5.185846899690256
Dimethylurea,CNC(=O)N(C)C,5.3499504585729944
Urea,C(=O)(N)N,5.588158532755125
