,0,1
Metoclopramide,8.265263,7.6583014
Indomethacin,8.761731,7.276236
Aspirin,11.081001,8.7369995
Ibuprofen,10.569221,7.2445664
Benzene,0.3641342,8.753764
Phthalic acid,11.459903,9.115873
Chrysene,13.416226,5.117226
Cyclohexane,0.38393655,9.16532
Ethanol,1.5007961,9.079281
Dimethylurea,1.752863,9.335794
Acetic acid,1.8158777,8.913518
Oestradiol,12.511282,4.4711823
Pyramidone,10.444895,8.162667
Etoricoxib,9.236599,7.1810417
Nimesulide,8.332142,6.9857807
Diclofenac,12.681185,4.620814
Urea,2.3244467,9.079935
Polistirene,0.21957667,8.942767
Polietilene,2.8683197,9.147125
PVC,0.7939628,9.093818
2_4_5-trichlorophenoxyacetic,9.908159,6.9974785
Ciprofloxacin,8.078218,7.270796
Amoxicillin,3.06758,8.927885
Paracetamol,11.277374,8.913857
Fluoxetine,12.835263,4.9173374
Sertraline,13.327281,4.932274
Carbamazepine,10.2401905,6.9772034
PolyPhOx,10.060137,7.523781
