,0,1
Metoclopramide,11.575687,2.1209028
Indomethacin,10.841453,1.8890123
Aspirin,11.767188,-0.07103238
Ibuprofen,13.5625515,-1.1572405
Benzene,3.553124,1.3267868
Phthalic acid,11.01905,-0.18878224
Chrysene,14.742974,-2.957653
Cyclohexane,3.3353326,2.0743465
Ethanol,9.389678,-1.1441114
Dimethylurea,9.937227,-1.3473942
Acetic acid,9.660556,-0.71006835
Oestradiol,13.185052,-1.958585
Pyramidone,12.427769,-0.38780507
Etoricoxib,10.70269,1.3377396
Nimesulide,11.310661,1.6687503
Diclofenac,13.361875,-2.5726101
Urea,10.219241,-0.7453728
Polistirene,3.095277,1.6229943
Polietilene,3.8044574,2.1467266
PVC,3.9110308,1.6078295
2_4_5-trichlorophenoxyacetic,12.939357,-1.3509443
Ciprofloxacin,11.799569,1.5168288
Amoxicillin,12.077838,2.1914585
Paracetamol,11.233347,-0.7496555
Fluoxetine,13.922236,-2.52284
Sertraline,14.276903,-2.5770066
Carbamazepine,13.923329,-1.6256096
PolyPhOx,13.055442,-0.68481743
