,0,1
Metoclopramide,-4.771227,3.8538415
Indomethacin,-5.468371,4.1311665
Aspirin,-4.0286617,3.461644
Ibuprofen,-4.1350226,2.0765252
Benzene,-7.3451524,1.8887299
Phthalic acid,-3.249359,2.9583838
Chrysene,-6.450509,2.2237966
Cyclohexane,-7.553769,1.6419997
Ethanol,-3.2357593,-2.453941
Dimethylurea,-3.0249908,-2.5683508
Acetic acid,-3.4982057,-2.1251738
Oestradiol,-3.6163535,1.5696571
Pyramidone,-4.0247283,4.2738347
Etoricoxib,-4.718771,4.518439
Nimesulide,-3.5038793,3.6367693
Diclofenac,-5.5159516,3.50337
Urea,-3.1725605,-2.8525422
Polistirene,-6.8841996,1.888834
Polietilene,-8.01039,1.5870665
PVC,-7.952708,1.8033099
2_4_5-trichlorophenoxyacetic,-5.0243554,4.1699686
Ciprofloxacin,-3.6018128,3.1851733
Amoxicillin,-3.1545467,2.0403433
Paracetamol,-3.1657636,1.5887386
Fluoxetine,-5.9425387,2.165456
Sertraline,-6.1361017,2.9355733
Carbamazepine,-3.6157553,4.0366845
PolyPhOx,-4.4662976,2.5837948
