Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.6056460356862774
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.6602861462850441
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.9238825641535163
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1.2685179198386622
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1.44572162296862
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1.4710179100595464
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,1.9303723941814612
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.9318087419872754
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,1.9533364563013296
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.1176136402139423
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,2.2152598003878414
Phthalic acid,O=C(O)c1ccccc1C(=O)O,2.253392519953846
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,2.4796151035201524
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,2.513233965475751
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,2.7584649102660257
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,2.7694570826043132
Urea,C(=O)(N)N,3.0145789282403066
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,3.108437023448935
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,3.161093656829089
Acetic acid,CC(=O)O,3.2588890325118847
Dimethylurea,CNC(=O)N(C)C,3.647785538339013
Ethanol,CCO,3.771200541846275
Polistirene,C=CC1=CC=CC=C1,35.336423657282815
Benzene,c1ccccc1,35.459599876998254
Cyclohexane,C1CCCCC1,35.84336820138162
PVC,C(C)Cl,35.85826624746702
Polietilene,CC,36.28182035561778
