Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.45239733294020235
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,0.8490216512853884
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.8552633185575357
Phthalic acid,O=C(O)c1ccccc1C(=O)O,0.9008949481058305
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.946975375010094
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,0.9514757527598422
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,1.069718164520498
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.13947926466291
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,1.1630488655817899
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1.2433681634217644
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,1.2880657563730757
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,1.2948787436909166
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,1.331822128965912
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1.4080339805309396
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1.4494985396999693
Acetic acid,CC(=O)O,2.024072078473489
Ethanol,CCO,2.033128265987757
Dimethylurea,CNC(=O)N(C)C,2.093713323321152
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,2.1661790638564704
Urea,C(=O)(N)N,2.4379334667751174
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.8654941028467493
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,3.06092512135585
Polistirene,C=CC1=CC=CC=C1,3.541752594208396
Benzene,c1ccccc1,3.6924167506562733
Cyclohexane,C1CCCCC1,3.9613887689833187
PVC,C(C)Cl,4.007419738942122
Polietilene,CC,4.194796027641878
