,0,1
Metoclopramide,2.5979908,0.8444584
Indomethacin,1.9679328,0.37300837
Aspirin,3.493862,-0.32830095
Ibuprofen,1.9356331,-1.690088
Benzene,-32.219265,-6.8425508
Phthalic acid,4.077831,0.2400252
Chrysene,0.14730752,-2.2185774
Cyclohexane,-32.478237,-7.65827
Ethanol,6.0556135,0.34547433
Dimethylurea,5.6816373,0.65526474
Acetic acid,5.6871862,-0.036278002
Oestradiol,1.9820228,-2.5718791
Pyramidone,3.1701233,-1.0728853
Etoricoxib,1.6933895,-0.08765143
Nimesulide,1.7749162,0.88137245
Diclofenac,1.4375539,-2.9635518
Urea,5.1610374,0.29098818
Polistirene,-32.006447,-7.4061522
Polietilene,-32.967426,-7.3865123
PVC,-32.60049,-6.98905
2_4_5-trichlorophenoxyacetic,2.3286924,-1.9480023
Ciprofloxacin,1.9304777,1.3664922
Amoxicillin,2.5838242,1.4410454
Paracetamol,4.268868,-0.33679006
Fluoxetine,0.9615726,-2.5957325
Sertraline,0.5876497,-2.650243
Carbamazepine,1.4489902,-1.975181
PolyPhOx,2.8588567,-1.6552004
