/mnt/beegfs/home/giulio/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
2.6.0+cu124
12.4
True
Using device: cuda
Vocabulary size: 35
Using 4 GPUs with DataParallel
Number of parameters: 11887171
epoch	train_loss	test_loss	time (s)
0	0.8151	0.4936	100.21
1	0.3330	0.3012	96.98
2	0.1830	0.2008	96.87
3	0.1131	0.1719	97.44
4	0.0750	0.1053	97.37
5	0.0526	0.0859	96.95
6	0.0389	0.0822	96.83
7	0.0297	0.0607	96.95
8	0.0235	0.0464	96.97
9	0.0184	0.0506	96.92
10	0.0151	0.0429	97.09
11	0.0124	0.0348	97.04
12	0.0108	0.0399	97.08
13	0.0090	0.0325	97.11
14	0.0078	0.0269	97.20
15	0.0068	0.0275	97.15
16	0.0061	0.0272	98.21
17	0.0053	0.0293	98.47
18	0.0047	0.0341	97.82
19	0.0048	0.0279	96.75
20	0.0032	0.0252	97.25
21	0.0035	0.0284	96.95
22	0.0032	0.0201	97.40
23	0.0030	0.0264	97.41
24	0.0028	0.0273	97.63
25	0.0026	0.0222	96.96
26	0.0024	0.0222	97.01
27	0.0022	0.0237	97.10
28	0.0022	0.0194	97.02
29	0.0020	0.0204	97.08
30	0.0019	0.0172	97.11
31	0.0018	0.0194	96.88
32	0.0017	0.0222	96.89
33	0.0016	0.0193	96.97
34	0.0015	0.0170	96.92
35	0.0015	0.0206	97.36
36	0.0014	0.0188	96.71
37	0.0013	0.0212	96.97
38	0.0013	0.0198	97.13
39	0.0012	0.0180	97.29
40	0.0012	0.0199	96.77
41	0.0012	0.0166	96.98
42	0.0012	0.0171	97.04
43	0.0010	0.0162	96.80
44	0.0010	0.0153	97.03
45	0.0010	0.0160	96.92
46	0.0010	0.0173	96.94
47	0.0009	0.0159	96.76
48	0.0009	0.0187	97.02
49	0.0009	0.0165	97.04
