/mnt/beegfs/home/giulio/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
2.6.0+cu124
12.4
True
Using device: cuda
Vocabulary size: 36
Using 4 GPUs with DataParallel
Number of parameters: 22205676
epoch	train_loss	test_loss	time (s)
0	0.7261	0.3432	140.82
1	0.1879	0.1748	136.86
2	0.0880	0.1184	136.98
3	0.0517	0.0688	136.75
4	0.0326	0.0611	137.37
5	0.0238	0.0785	137.30
6	0.0169	0.0389	136.83
7	0.0134	0.0371	137.70
8	0.0106	0.0260	137.63
9	0.0087	0.0233	137.62
10	0.0072	0.0260	137.44
11	0.0061	0.0259	137.48
12	0.0052	0.0206	137.24
13	0.0046	0.0269	136.83
14	0.0041	0.0199	136.81
15	0.0035	0.0162	137.72
16	0.0032	0.0157	137.61
17	0.0029	0.0161	137.51
18	0.0026	0.0128	137.12
19	0.0023	0.0143	137.46
20	0.0023	0.0128	136.87
21	0.0020	0.0147	137.70
22	0.0019	0.0122	137.43
23	0.0018	0.0143	137.64
24	0.0017	0.0148	137.23
25	0.0016	0.0107	137.74
26	0.0015	0.0177	137.03
27	0.0014	0.0123	137.20
28	0.0014	0.0114	136.47
29	0.0012	0.0129	137.52
30	0.0012	0.0133	137.25
31	0.0011	0.0100	137.11
32	0.0011	0.0113	137.21
33	0.0011	0.0106	137.10
34	0.0010	0.0103	137.15
35	0.0010	0.0123	137.38
36	0.0010	0.0100	137.29
37	0.0009	0.0095	137.35
38	0.0008	0.0107	137.44
39	0.0008	0.0119	137.25
40	0.0008	0.0102	137.68
41	0.0008	0.0093	136.96
42	0.0008	0.0107	137.24
43	0.0007	0.0093	137.68
44	0.0007	0.0109	137.11
45	0.0007	0.0104	137.20
46	0.0007	0.0102	137.36
47	0.0007	0.0107	137.13
48	0.0006	0.0079	137.21
49	0.0006	0.0106	137.38
50	0.0006	0.0106	137.26
51	0.0006	0.0086	136.73
52	0.0006	0.0090	136.63
53	0.0006	0.0082	137.38
54	0.0005	0.0114	137.23
55	0.0006	0.0087	137.74
56	0.0005	0.0109	137.28
57	0.0005	0.0103	137.01
58	0.0005	0.0084	136.80
59	0.0005	0.0102	137.18
60	0.0005	0.0101	137.33
61	0.0005	0.0084	137.12
62	0.0005	0.0093	136.94
63	0.0005	0.0089	137.39
64	0.0004	0.0091	137.57
65	0.0004	0.0089	137.23
66	0.0004	0.0098	137.24
67	0.0004	0.0086	137.57
68	0.0004	0.0081	137.33
69	0.0004	0.0087	137.62
70	0.0004	0.0101	137.29
71	0.0004	0.0079	137.50
72	0.0004	0.0100	137.42
73	0.0004	0.0085	137.02
74	0.0004	0.0085	137.32
75	0.0004	0.0093	137.45
76	0.0004	0.0080	137.44
77	0.0004	0.0093	137.50
78	0.0004	0.0082	137.44
79	0.0004	0.0085	137.21
80	0.0003	0.0083	137.48
81	0.0003	0.0079	137.20
82	0.0003	0.0088	137.43
83	0.0003	0.0083	137.35
84	0.0003	0.0080	137.84
85	0.0003	0.0100	137.66
86	0.0003	0.0074	138.10
87	0.0003	0.0092	137.29
88	0.0003	0.0076	137.74
89	0.0003	0.0093	137.57
90	0.0003	0.0079	137.71
91	0.0003	0.0083	137.54
92	0.0003	0.0084	137.58
93	0.0003	0.0079	137.83
94	0.0003	0.0076	137.51
95	0.0003	0.0091	137.49
96	0.0003	0.0083	137.46
97	0.0003	0.0088	137.75
98	0.0003	0.0083	137.16
99	0.0003	0.0081	137.52
