Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,21.63022232055664,1.1080383,237.04578,1.1043248,7.1871585847787225,5.014989
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,20.249937057495117,0.9220848,227.27188,0.91983944,12.074105314365504,4.1970043
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,21.917421340942383,1.0590035,240.48814,1.0543834,12.444166451588508,4.622033
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,19.325885772705078,0.88875645,217.36713,0.8950383,,4.5357513
Benzene,c1ccccc1,0,1.6866,22.265056610107422,1.077735,249.09686,1.0729586,47.96934090166495,4.2976074
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,20.982147216796875,0.95856255,238.38266,0.9627389,,4.297054
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,18.222469329833984,0.811939,205.12029,0.8102666,19.806494766930616,3.6766505
Cyclohexane,C1CCCCC1,0,2.3406,19.39987564086914,0.87560487,215.02249,0.87458295,30.360892646147434,4.1689568
Ethanol,CCO,0,-0.0014,20.750377655029297,0.9676253,240.34567,0.9662318,,3.2927313
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,21.92632484436035,1.0104715,252.57587,1.0071123,8.479392286918351,4.050443
Acetic acid,CC(=O)O,0,0.0909,21.624465942382812,1.0162522,242.16483,1.012479,18.996993649735483,4.8783216
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,18.6531925201416,0.8337293,207.47067,0.8333011,,4.493962
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,21.500242233276367,1.038414,246.3716,1.0442849,,4.6491585
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,20.70847511291504,0.940359,238.84818,0.9399574,,3.5934954
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,21.525279998779297,1.0640823,248.44745,1.0692564,8.559839736867625,4.1250653
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,22.908021926879883,1.1014104,257.80475,1.1061649,,5.0068855
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,21.351648330688477,1.1109725,234.56305,1.112114,,3.9090044
acido acetico,CC(=O)O,2,0.0909,21.600744247436523,1.0358014,250.0886,1.0352566,24.084998385631465,4.4233146
urea,C(=O)(N)N,2,-0.9762,21.711225509643555,1.0989659,250.8034,1.095529,19.350581334065637,3.6856904
polistirene,C=CC1=CC=CC=C1,2,2.3296,21.042591094970703,1.0097332,239.906,1.0033133,,3.8260875
Polietilene,CC,2,1.0262,20.288267135620117,1.0136534,230.68573,1.0246667,32.13735546196773,3.945878
PVC,C(C)Cl,2,1.2451,21.156326293945312,0.9092936,246.51682,0.9119691,,4.249984
2-4-5-trichlorophenoxyacetic acid,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,3,3.1102,21.82495880126953,1.0566175,249.06567,1.0564622,40.56178097021496,4.646348
ciprofloxacina,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0,1.5833,20.48166847229004,1.0048465,229.67068,1.0016123,21.688505433876795,4.213817
amoxicillina,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,0,0.0237,21.152589797973633,0.9655149,241.74088,0.96887445,,4.381914
paracetamolo,CC(=O)NC1=CC=C(C=C1)O,0,1.3506,19.43931007385254,0.91244996,224.07831,0.9087677,,4.5051537
fluoxetina,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0,4.435,21.35785675048828,0.9789091,243.62875,0.9763944,,5.3937016
sertralina,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0,5.1796,20.204614639282227,0.9192174,225.8165,0.9270631,,4.8314214
carbamazepina,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0,3.3872,20.108381271362305,0.9249592,224.41748,0.922896,,4.758075
POLYMER precrop,c1ccc(cc1)C(c2ccccc2)C3=NCCO3,0,3.2472,23.568965911865234,1.1087058,270.28506,1.120653,16.811053791737724,4.427784
POLYMER 3,O=C(NCC1=CC=NC=C1)CCCN2CCO2,0,0.7252,21.337738037109375,1.0777506,240.55257,1.0860456,,3.9822223
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,22.116567611694336,1.0501794,247.86363,1.0587062,,3.8650384
MONOMER BEST,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0,2.2692,0.0,0.0,0.0,0.0,0.0,0.0
