Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,5.050624370574951,0.021505535,64.72579,0.021588027,4.457897062900168,0.7410524
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,9.422849655151367,0.076687396,122.19774,0.0769701,5.318824279840246,1.6405547
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,7.454955577850342,0.04493451,97.08813,0.04506904,8.764529130809022,1.3063669
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,6.446145534515381,0.033678234,82.90751,0.033810794,7.678675915753314,1.1967841
Benzene,c1ccccc1,0,1.6866,14.13870620727539,0.12621015,177.69746,0.12675458,14.336705749050164,2.576829
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,7.042407035827637,0.036425173,88.06906,0.036558747,4.496807369866175,1.265815
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,13.785974502563477,0.13892043,180.69681,0.13947701,4.763988051140868,2.6108866
Cyclohexane,C1CCCCC1,0,2.3406,14.057873725891113,0.12703764,176.92374,0.12758088,12.055353557903295,2.4939084
Ethanol,CCO,0,-0.0014,12.675082206726074,0.099369824,163.03491,0.099749744,,2.3692775
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,10.437545776367188,0.07138747,137.86084,0.07168555,8.631309261021903,1.9611697
Acetic acid,CC(=O)O,0,0.0909,11.883585929870605,0.08835101,155.52145,0.08869988,7.700713180515148,2.331367
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,15.245830535888672,0.14010823,201.11765,0.140589,,2.5732412
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,4.877710342407227,0.019895136,64.12427,0.019957185,6.234813779911812,0.82056224
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,11.025137901306152,0.09892666,143.16373,0.09934199,5.318658019726248,1.9614761
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,12.293351173400879,0.12958825,160.14163,0.13000935,3.8358304694446317,1.9729416
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,11.134503364562988,0.10476583,143.64008,0.1052016,8.964320900158118,1.9276519
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,6.844201564788818,0.039124012,90.903366,0.039282918,7.824153288530744,1.1667186
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,0.0,0.0,0.0,0.0,0.0,0.0
POLYMER 1,N(C(=O)C(c1ccccc1)c2ccccc2)CC,0,2.9546,5.882623195648193,0.028558016,77.10361,0.028670251,7.149715722041392,1.1221268
POLYMER 2,N(CCO)[C](c1ccccc1)c2ccccc2,0,2.19689,3.485663890838623,0.009723902,43.900517,0.009713471,,0.68539345
POLYMER precrop,c1ccc(cc1)C(c2ccccc2)C3=NCCO3,0,3.2472,10.004941940307617,0.08208418,133.00949,0.082428575,10.832814157712251,1.4910583
POLYMER 3,OCCN[C](c1ccccc1)c1ccccc1,0,2.19689,3.4856834411621094,0.009723723,43.900684,0.00971365,,0.6854013
