Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,78.2466049194336,0.0041677356,890.03046,0.00414598,,17.109798
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,132.14517211914062,0.012129664,1502.1134,0.0120690465,15.559019553650009,37.914513
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,106.03060913085938,0.0077877045,1173.1353,0.007759154,,23.41219
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,97.73140716552734,0.0065003037,1129.5428,0.0065000653,11.076174505634025,17.60041
Benzene,c1ccccc1,0,1.6866,197.88919067382812,0.026692688,2204.629,0.026696086,,45.863865
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,98.97929382324219,0.0065786242,1125.3425,0.0065792203,,21.68761
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,210.4855194091797,0.031043172,2352.4082,0.031041086,9.264965259036021,47.442463
Cyclohexane,C1CCCCC1,0,2.3406,199.2606964111328,0.027314723,2231.8477,0.027317107,,44.22493
Ethanol,CCO,0,-0.0014,185.71653747558594,0.022894323,2064.4119,0.022893965,17.260542512032796,38.18883
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,142.77984619140625,0.013856351,1589.16,0.01385802,12.587118083961618,30.931099
Acetic acid,CC(=O)O,0,0.0909,155.99099731445312,0.01614803,1737.8087,0.016150057,,35.98171
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,232.95237731933594,0.030051887,2571.3062,0.030038774,8.985591918795265,53.954567
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,68.64545440673828,0.0032382011,785.39954,0.0032368302,16.397173484784915,16.403824
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,158.73422241210938,0.01754415,1781.2577,0.017419279,,32.98471
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,174.54786682128906,0.02126038,1928.6421,0.021157026,,51.231888
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,162.36105346679688,0.0181306,1817.5115,0.018052697,,36.050575
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,96.38367462158203,0.006429255,1095.8623,0.0064287186,21.70442367606472,20.91849
acido acetico,CC(=O)O,2,0.0909,155.99099731445312,0.01614803,1737.8087,0.016150057,,35.98171
urea,C(=O)(N)N,2,-0.9762,165.90615844726562,0.016066968,1915.3596,0.016057312,,34.071384
polistirene,C=CC1=CC=CC=C1,2,2.3296,194.22592163085938,0.026127517,2177.694,0.026129544,,43.599377
Polietilene,CC,2,1.0262,302.51507568359375,0.045615792,3367.0664,0.045607865,22.1482799517698,66.87204
PVC,C(C)Cl,2,1.2451,201.1987762451172,0.027422905,2229.0405,0.0274266,,47.366196
2-4-5-trichlorophenoxyacetic acid,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,3,3.1102,78.36646270751953,0.004110396,884.7169,0.0040993094,8.231109106755952,16.158045
ciprofloxacina,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0,1.5833,121.38786315917969,0.009834528,1366.6648,0.009793997,,27.76597
amoxicillina,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,0,0.0237,272.6066589355469,0.04126036,3054.638,0.04126489,16.477087632009606,61.120155
paracetamolo,CC(=O)NC1=CC=C(C=C1)O,0,1.3506,83.50672912597656,0.0047934055,946.8153,0.0047938824,,20.547405
fluoxetina,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0,4.435,128.7628936767578,0.011448085,1441.82,0.011425674,8.677178141170248,28.102509
sertralina,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0,5.1796,162.94375610351562,0.018495977,1839.1511,0.018493474,18.664303023974885,35.922424
carbamazepina,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0,3.3872,97.43328857421875,0.0064610243,1126.2778,0.006461382,7.575795029789644,22.125307
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,0.0,0.0,0.0,0.0,0.0,0.0
