Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,9.840235710144043,1.0054249,124.86192,1.0101649,299.02190224540567,2.0713017
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,8.776704788208008,0.89030665,109.50113,0.8881959,357.30544449261123,1.9322982
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,9.626526832580566,0.94861495,122.91808,0.9511404,,1.7942953
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,9.503369331359863,0.9962003,123.47386,1.0003616,191.8571947615275,2.0976472
Benzene,c1ccccc1,0,1.6866,7.906024932861328,0.8280615,100.535385,0.8266832,,1.2240472
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,8.671529769897461,0.82110447,109.71763,0.823919,,1.7924006
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,7.656222343444824,0.76122093,97.72826,0.7608987,,1.4253923
Cyclohexane,C1CCCCC1,0,2.3406,8.528327941894531,0.8387184,107.43533,0.8395473,187.9217606078926,1.4349309
Ethanol,CCO,0,-0.0014,11.11812973022461,1.1089711,140.31447,1.1041036,295.9319767502006,2.1764965
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,7.128124237060547,0.6491802,89.56196,0.65085995,248.8424711327492,1.2876972
Acetic acid,CC(=O)O,0,0.0909,9.236613273620605,1.1126837,119.40596,1.1148647,128.9595731923161,1.9580762
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,9.946215629577637,0.9794378,122.25926,0.9789703,331.69572826966544,2.327597
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,9.273900985717773,1.0724838,114.73168,1.0715286,,1.892307
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,8.856213569641113,0.8403948,115.6821,0.839832,132.2908185476115,1.385639
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,9.543939590454102,1.0173812,118.23154,1.0170228,,1.9901557
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,8.924714088439941,0.80594075,107.959435,0.7996269,104.91130054214995,2.0754344
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,9.144061088562012,0.81987953,117.63664,0.8221055,,1.572942
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,7.213804721832275,0.55660576,94.09764,0.55680037,,1.4309648
POLYMER 1,N(C(=O)C(c1ccccc1)c2ccccc2)CC,0,2.9546,0.0,0.0,0.0,0.0,0.0,0.0
