Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,9.772719383239746,0.95123035,127.48594,0.94871473,322.2051022713444,1.5407624
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,9.853453636169434,1.0717424,124.09871,1.0727361,635.5361732734515,2.6254492
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,8.915464401245117,0.78054166,113.62198,0.7788952,464.00098830150716,1.6408246
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,8.87912654876709,0.83217895,113.74639,0.82958674,,1.4673593
Benzene,c1ccccc1,0,1.6866,7.6070966720581055,0.7246587,97.621284,0.72503436,404.64981032263023,1.3398856
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,9.036274909973145,0.85412514,116.38069,0.85210305,560.3724827808801,1.4298453
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,7.736175537109375,0.736503,100.166916,0.73637754,432.0320239030139,1.4364856
Cyclohexane,C1CCCCC1,0,2.3406,7.714643955230713,0.6554973,99.71608,0.65474916,,1.3949203
Ethanol,CCO,0,-0.0014,10.363986015319824,0.9253983,131.48715,0.9277515,553.1700875426591,2.3488963
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,6.8739495277404785,0.5714152,87.77878,0.56949776,,1.5335853
Acetic acid,CC(=O)O,0,0.0909,9.22933292388916,1.0549495,115.68236,1.054048,411.6105577128739,1.7527452
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,10.290337562561035,1.0080674,128.43216,1.008285,466.8426674469535,1.9026123
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,9.305227279663086,1.0275745,113.82999,1.0281239,,2.6546924
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,10.257503509521484,1.081226,127.10498,1.0814116,266.8749906231702,2.1480243
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,9.848031044006348,1.0360653,119.96073,1.0362704,585.1980379771824,2.4625473
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,9.3201265335083,0.8454267,117.26947,0.8472607,509.18078832111536,1.8480732
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,10.30112075805664,1.0036519,134.90407,1.0023156,,1.7481624
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,6.323370933532715,0.41051984,82.63074,0.4097407,,1.1087967
POLYMER 1,N(C(=O)C(c1ccccc1)c2ccccc2)CC,0,2.9546,6.081521987915039,0.4178673,74.49341,0.41519314,805.1222660448847,1.2682934
POLYMER 2,N(CCO)[C](c1ccccc1)c2ccccc2,0,2.19689,0.0,0.0,0.0,0.0,0.0,0.0
POLYMER precrop,c1ccc(cc1)C(c2ccccc2)C3=NCCO3,0,3.2472,7.628218650817871,0.70886046,97.70387,0.7097259,446.1431748014027,1.8109114
POLYMER 3,OCCN[C](c1ccccc1)c1ccccc1,0,2.19689,6.326446533203125,0.37826502,81.83865,0.3778571,46.08001914129919,0.90448
