Name,SMILES,PAPER,logP,euclidean,mahalanobis
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,43.562686920166016,1.4501968541121075
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,48.67023468017578,8.639330086157708
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,50.247493743896484,7.6381621886911
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,35.58039093017578,6.136561606014159
Benzene,c1ccccc1,0,1.6866,75.41336822509766,10.7690476564766
Phthalic acid,O=C(O)c1ccccc1C(=O)O,0,1.083,65.66091918945312,6.022768449795919
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,71.84010314941406,11.849990272719177
Cyclohexane,C1CCCCC1,0,2.3406,86.45962524414062,8.582799080178981
Ethanol,CCO,0,-0.0014,119.7104721069336,12.59289737002923
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,79.4454345703125,8.070087577440342
Acetic acid,CC(=O)O,2,0.0909,86.5733871459961,11.752950332173377
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,46.98287582397461,5.91034064853024
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,57.26060485839844,
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,52.523677825927734,15.323669330394855
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,65.52398681640625,7.1784753741329315
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,56.109107971191406,6.977378798526942
Urea,C(=O)(N)N,2,-0.9762,104.00775146484375,2.8043668717754753
Polistirene,C=CC1=CC=CC=C1,2,2.3296,73.67501068115234,8.861032292054576
Polietilene,CC,2,1.0262,317.1873779296875,
PVC,C(C)Cl,2,1.2451,99.54710388183594,10.921759022218358
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,3,3.1102,22.4056396484375,7.353453614820755
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0,1.5833,57.40267562866211,5.181602509520531
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,0,0.0237,140.47659301757812,21.936454898849597
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,0,1.3506,57.254390716552734,7.948952290658207
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0,4.435,46.66938400268555,8.985293130816277
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0,5.1796,60.94508361816406,10.094214608804943
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0,3.3872,38.1019401550293,7.275351739049846
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0,2.2692,0.0,0.0
