Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,17.98346710205078,0.10208553,163.10587,0.1018157,7.674216967658902,3.6386325
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,28.37006187438965,0.27184212,259.61047,0.26997268,9.710362768006583,6.630848
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,21.642961502075195,0.14330447,198.1325,0.14219433,8.006600153261905,5.3261833
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,16.671415328979492,0.080408275,152.89523,0.07916707,9.55355845757331,3.713489
Benzene,c1ccccc1,0,1.6866,33.25285339355469,0.17591828,298.6316,0.17595565,,7.4771967
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,22.776004791259766,0.14448398,207.70331,0.14356083,,6.008785
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,32.21336364746094,0.2126329,297.0777,0.20757282,8.294449554066903,5.943732
Cyclohexane,C1CCCCC1,0,2.3406,32.834102630615234,0.17417389,298.36133,0.17429489,10.868294407891298,7.8871527
Ethanol,CCO,0,-0.0014,30.453088760375977,0.15062815,277.04636,0.14787853,12.959608951514625,7.2167873
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,25.952777862548828,0.13808006,242.75499,0.13531482,7.437200700523849,5.547142
Acetic acid,CC(=O)O,0,0.0909,29.877456665039062,0.16506559,277.92865,0.16267371,8.096952629526973,6.1607466
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,45.07381057739258,0.4259867,433.6148,0.42178994,1.3790443502546164,9.709838
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,11.785999298095703,0.04302895,108.73584,0.040743947,5.761463206168499,2.3494215
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,27.130146026611328,0.21327597,247.08194,0.2122047,,6.752694
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,34.432289123535156,0.3783331,306.61362,0.37689126,,8.926649
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,34.022125244140625,0.38390285,318.6507,0.38421047,6.15614990695196,7.526365
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,18.968263626098633,0.111150086,174.70572,0.106425345,3.6172065816750845,3.6807873
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,9.015645980834961,0.02407211,84.11083,0.02408725,6.9692660662382435,2.279515
POLYMER 1,N(C(=O)C(c1ccccc1)c2ccccc2)CC,0,2.9546,14.456703186035156,0.062532365,132.44704,0.061190188,7.1705307168147705,3.0083346
POLYMER 2,N(CCO)[C](c1ccccc1)c2ccccc2,0,2.19689,0.0,0.0,0.0,0.0,0.0,0.0
POLYMER precrop,c1ccc(cc1)C(c2ccccc2)C3=NCCO3,0,3.2472,24.163198471069336,0.16498983,223.57025,0.16425145,8.457573881646924,5.5349083
POLYMER 3,OCCN[C](c1ccccc1)c1ccccc1,0,2.19689,2.4423205104540102e-05,5.9604645e-08,0.00023508444,0.0,6.476506737248207,5.2452087e-06
